energy#1, (U= 1500.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
 148   0.98788351E+01     -0.19080418E+00       0.80354259E+01        0.21967132E+06      0.23481645E-02      0.12530199E-08       0       0
 150   0.10012333E+02     -0.17681168E+00       0.76678100E+01        0.21953715E+06      0.21121934E-02      0.10563328E-08       0       0
 152   0.10145831E+02     -0.17065577E+00       0.73203426E+01        0.21951479E+06      0.20197295E-02      0.90558672E-09       0       0
 154   0.10279328E+02     -0.16997232E+00       0.69797145E+01        0.21953715E+06      0.19617677E-02      0.77937656E-09       0       0
 156   0.10412826E+02     -0.17214783E+00       0.66375944E+01        0.21958188E+06      0.18895578E-02      0.66937567E-09       0       0
 158   0.10546324E+02     -0.17301937E+00       0.62924272E+01        0.21960424E+06      0.17894894E-02      0.56841198E-09       0       0
 160   0.10679822E+02     -0.17146411E+00       0.59479437E+01        0.21962660E+06      0.16640440E-02      0.47715165E-09       0       0
 162   0.10813319E+02     -0.16752628E+00       0.56089533E+01        0.21960424E+06      0.15175123E-02      0.39568349E-09       0       0
 164   0.10946817E+02     -0.16134837E+00       0.52800786E+01        0.21955951E+06      0.13542458E-02      0.32804870E-09       0       0
 166   0.11080315E+02     -0.15318701E+00       0.49655433E+01        0.21949243E+06      0.11803080E-02      0.27038372E-09       0       0
 168   0.11213813E+02     -0.14343004E+00       0.46689262E+01        0.21938063E+06      0.10302737E-02      0.22211122E-09       0       0
 170   0.11347311E+02     -0.13262183E+00       0.43928743E+01        0.21926883E+06      0.99657118E-03      0.18314239E-09       0       0
 172   0.11480808E+02     -0.12154435E+00       0.41387082E+01        0.21915702E+06      0.95756680E-03      0.15376589E-09       0       0
 174   0.11614306E+02     -0.11146805E+00       0.39056958E+01        0.21902286E+06      0.91328373E-03      0.12885248E-09       0       0
 176   0.11747804E+02     -0.10276515E+00       0.36914626E+01        0.21891105E+06      0.86431087E-03      0.11051160E-09       0       0
 178   0.11881302E+02     -0.95300230E-01       0.34933972E+01        0.21882161E+06      0.81143417E-03      0.95501385E-10       0       0
 180   0.12014799E+02     -0.88942432E-01       0.33091545E+01        0.21873217E+06      0.75566029E-03      0.81890050E-10       0       0
 182   0.12148297E+02     -0.83562123E-01       0.31366500E+01        0.21866509E+06      0.69818448E-03      0.71165296E-10       0       0
 184   0.12281795E+02     -0.79026167E-01       0.29740617E+01        0.21857564E+06      0.64034784E-03      0.62194694E-10       0       0
 186   0.12415293E+02     -0.75189998E-01       0.28198455E+01        0.21850856E+06      0.58361644E-03      0.53779203E-10       0       0
 188   0.12548790E+02     -0.71880707E-01       0.26727748E+01        0.21846384E+06      0.52944532E-03      0.48405724E-10       0       0
 190   0.12682288E+02     -0.68826935E-01       0.25320672E+01        0.21839676E+06      0.47902603E-03      0.41944226E-10       0       0
 192   0.12815786E+02     -0.65735632E-01       0.23975046E+01        0.21832968E+06      0.43269833E-03      0.37014836E-10       0       0
 194   0.12949284E+02     -0.62594869E-01       0.22691741E+01        0.21826260E+06      0.39027467E-03      0.33084646E-10       0       0
 196   0.13082782E+02     -0.59421517E-01       0.21471577E+01        0.21819551E+06      0.35152597E-03      0.29443115E-10       0       0
 198   0.13216279E+02     -0.56234383E-01       0.20315018E+01        0.21810607E+06      0.31618697E-03      0.24691360E-10       0       0
 200   0.13349777E+02     -0.53054765E-01       0.19222127E+01        0.21803899E+06      0.28397329E-03      0.22870594E-10       0       0
 202   0.13483275E+02     -0.49907422E-01       0.18192505E+01        0.21797191E+06      0.25458422E-03      0.19184654E-10       0       0
 204   0.13616773E+02     -0.46822534E-01       0.17225205E+01        0.21788246E+06      0.22770887E-03      0.17674751E-10       0       0
 206   0.13750270E+02     -0.43841044E-01       0.16318569E+01        0.21781538E+06      0.20304122E-03      0.14233059E-10       0       0
 208   0.13883768E+02     -0.41036502E-01       0.15469794E+01        0.21772594E+06      0.18034281E-03      0.14033219E-10       0       0
 210   0.14017266E+02     -0.38448262E-01       0.14674946E+01        0.21765886E+06      0.15953800E-03      0.12190249E-10       0       0
 212   0.14150764E+02     -0.36065847E-01       0.13929805E+01        0.21756941E+06      0.14057278E-03      0.11168844E-10       0       0
 214   0.14284262E+02     -0.33877591E-01       0.13230371E+01        0.21750233E+06      0.12337693E-03      0.96145314E-11       0       0
 216   0.14417759E+02     -0.31871005E-01       0.12572885E+01        0.21743525E+06      0.10786815E-03      0.88595797E-11       0       0
 218   0.14551257E+02     -0.30032517E-01       0.11953850E+01        0.21736817E+06      0.93958790E-04      0.76383344E-11       0       0
 220   0.14684755E+02     -0.28346999E-01       0.11370055E+01        0.21730109E+06      0.81554330E-04      0.75495166E-11       0       0
 222   0.14818253E+02     -0.26796837E-01       0.10818616E+01        0.21723400E+06      0.70561360E-04      0.71942452E-11       0       0
 224   0.14951750E+02     -0.25359266E-01       0.10297055E+01        0.21716692E+06      0.60886691E-04      0.63948846E-11       0       0
 226   0.15085248E+02     -0.23997069E-01       0.98034918E+00        0.21709984E+06      0.52424973E-04      0.52180482E-11       0       0
 228   0.15218746E+02     -0.22692655E-01       0.93365946E+00        0.21703276E+06      0.45050980E-04      0.55955240E-11       0       0
 230   0.15352244E+02     -0.21445598E-01       0.88952121E+00        0.21696568E+06      0.38644638E-04      0.49737992E-11       0       0
 232   0.15485741E+02     -0.20255475E-01       0.84782013E+00        0.21689859E+06      0.33095325E-04      0.37747583E-11       0       0
 234   0.15619239E+02     -0.19121880E-01       0.80844278E+00        0.21683151E+06      0.28301863E-04      0.37081449E-11       0       0
 236   0.15752737E+02     -0.18044473E-01       0.77127642E+00        0.21676443E+06      0.24171975E-04      0.42854609E-11       0       0
 238   0.15886235E+02     -0.17023077E-01       0.73620887E+00        0.21671971E+06      0.20622370E-04      0.24424907E-11       0       0
 240   0.16019733E+02     -0.16057846E-01       0.70312795E+00        0.21665263E+06      0.17577713E-04      0.32640557E-11       0       0
 242   0.16153230E+02     -0.15149786E-01       0.67192032E+00        0.21658554E+06      0.14970574E-04      0.29976022E-11       0       0
 244   0.16286728E+02     -0.14302231E-01       0.64246830E+00        0.21651846E+06      0.12741280E-04      0.17985613E-11       0       0
 246   0.16420226E+02     -0.13514406E-01       0.61465167E+00        0.21645138E+06      0.10837839E-04      0.16431301E-11       0       0
 248   0.16553724E+02     -0.12783030E-01       0.58835423E+00        0.21640666E+06      0.92145549E-05      0.25313085E-11       0       0
 250   0.16687221E+02     -0.12104747E-01       0.56346645E+00        0.21633958E+06      0.78315536E-05      0.16209256E-11       0       0
 252   0.16820719E+02     -0.11476107E-01       0.53988560E+00        0.21627249E+06      0.66540095E-05      0.11102230E-11       0       0
 254   0.16954217E+02     -0.10893519E-01       0.51751598E+00        0.21622777E+06      0.56518908E-05      0.75495166E-12       0       0
 256   0.17087715E+02     -0.10353179E-01       0.49626928E+00        0.21616069E+06      0.47992314E-05      0.10214052E-11       0       0
 258   0.17221212E+02     -0.98509008E-02       0.47606520E+00        0.21609361E+06      0.40739390E-05      0.12656542E-11       0       0
 260   0.17354710E+02     -0.93816442E-02       0.45683265E+00        0.21604889E+06      0.34572525E-05      0.11102230E-11       0       0
 262   0.17488208E+02     -0.89379094E-02       0.43851310E+00        0.21598181E+06      0.29332884E-05      0.20206059E-11       0       0
 264   0.17621706E+02     -0.85161193E-02       0.42105907E+00        0.21591472E+06      0.24883891E-05      0.19761970E-11       0       0
 266   0.17755204E+02     -0.81156124E-02       0.40442734E+00        0.21587000E+06      0.21108211E-05      0.75495166E-12       0       0
 268   0.17888701E+02     -0.77357277E-02       0.38857600E+00        0.21580292E+06      0.17905632E-05      0.14432899E-11       0       0
 270   0.18022199E+02     -0.73758086E-02       0.37346446E+00        0.21573584E+06      0.15190436E-05      0.76605389E-12       0       0
 272   0.18155697E+02     -0.70352084E-02       0.35905344E+00        0.21569112E+06      0.12889462E-05      0.61062266E-12       0       0
 274   0.18289195E+02     -0.67133003E-02       0.34530494E+00        0.21562404E+06      0.10940187E-05      0.86597396E-12       0       0
