energy#1, (U= 300.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
 139   0.34407803E+02     -0.14901161E-07      -0.74505806E-08        0.16216500E+06      0.11104461E-11      0.00000000E+00       0       0
 140   0.34655341E+02      0.00000000E+00      -0.14901161E-07        0.16257000E+06      0.14554775E-11      0.00000000E+00       0       0
 141   0.34902879E+02      0.00000000E+00      -0.14901161E-07        0.16297500E+06      0.76144874E-12      0.00000000E+00       0       0
 142   0.35150417E+02      0.00000000E+00      -0.14901161E-07        0.16336500E+06      0.84076632E-12      0.00000000E+00       0       0
 143   0.35397955E+02      0.00000000E+00      -0.14901161E-07        0.16377000E+06      0.94387917E-12      0.00000000E+00       0       0
 144   0.35645494E+02      0.00000000E+00      -0.14901161E-07        0.16417500E+06      0.58695007E-12      0.00000000E+00       0       0
 145   0.35893032E+02      0.00000000E+00      -0.14901161E-07        0.16456500E+06      0.76938050E-12      0.00000000E+00       0       0
 146   0.36140570E+02      0.00000000E+00      -0.14901161E-07        0.16497000E+06      0.16260103E-11      0.00000000E+00       0       0
 147   0.36388108E+02      0.00000000E+00      -0.14901161E-07        0.16536000E+06      0.21058817E-11      0.00000000E+00       0       0
 148   0.36635646E+02      0.00000000E+00      -0.14901161E-07        0.16576500E+06      0.16894644E-11      0.00000000E+00       0       0
 149   0.36883184E+02      0.00000000E+00      -0.14901161E-07        0.16615500E+06      0.16022151E-11      0.00000000E+00       0       0
 150   0.37130723E+02      0.00000000E+00      -0.14901161E-07        0.16654500E+06      0.64247237E-12      0.00000000E+00       0       0
 151   0.37378261E+02      0.00000000E+00      -0.14901161E-07        0.16693500E+06      0.90422038E-12      0.00000000E+00       0       0
 152   0.37625799E+02      0.00000000E+00      -0.14901161E-07        0.16734000E+06      0.50763249E-12      0.00000000E+00       0       0
 153   0.37873337E+02      0.00000000E+00      -0.14901161E-07        0.16773000E+06      0.11580366E-11      0.00000000E+00       0       0
 154   0.38120875E+02      0.00000000E+00      -0.14901161E-07        0.16812000E+06      0.69799468E-12      0.00000000E+00       0       0
 155   0.38368413E+02      0.00000000E+00      -0.14901161E-07        0.16851000E+06      0.41245140E-12      0.00000000E+00       0       0
 156   0.38615951E+02      0.00000000E+00      -0.14901161E-07        0.16888500E+06      0.66626765E-12      0.00000000E+00       0       0
 157   0.38863490E+02      0.00000000E+00      -0.14901161E-07        0.16927500E+06      0.88835686E-12      0.00000000E+00       0       0
 158   0.39111028E+02      0.00000000E+00      -0.14901161E-07        0.16966500E+06      0.55522304E-12      0.00000000E+00       0       0
 159   0.39358566E+02      0.00000000E+00      -0.14901161E-07        0.17005500E+06      0.46797370E-12      0.00000000E+00       0       0
 160   0.39606104E+02      0.00000000E+00      -0.14901161E-07        0.17043000E+06      0.98353795E-12      0.00000000E+00       0       0
 161   0.39853642E+02     -0.14901161E-07      -0.22351742E-07        0.17082000E+06      0.93594741E-12      0.00000000E+00       0       0
 162   0.40101180E+02      0.00000000E+00      -0.29802322E-07        0.17121000E+06      0.11580366E-11      0.00000000E+00       0       0
